diagnosis,group,snomed_code,snomed_code_name
Cardiomyopathy,Heart failure and cardiomyopathy,42099002,Primary endomyocardial fibrosis restrictive cardiomyopathy (disorder)
Cardiomyopathy,Heart failure and cardiomyopathy,426300009,Tachycardia-induced cardiomyopathy (disorder)
Cardiomyopathy,Heart failure and cardiomyopathy,426856002,Ischemic congestive cardiomyopathy (disorder)
Cardiomyopathy,Heart failure and cardiomyopathy,441541008,Takotsubo cardiomyopathy (disorder)
Cardiomyopathy,Heart failure and cardiomyopathy,44630002,Dilated cardiomyopathy due to fungal myocarditis (disorder)
Cardiomyopathy,Heart failure and cardiomyopathy,447934002,Right ventricular myocardial noncompaction cardiomyopathy (disorder)
Cardiomyopathy,Heart failure and cardiomyopathy,447935001,Left ventricular myocardial noncompaction cardiomyopathy (disorder)
Cardiomyopathy,Heart failure and cardiomyopathy,45227007,Hypertrophic obstructive cardiomyopathy (disorder)
Cardiomyopathy,Heart failure and cardiomyopathy,460500001,Histiocytoid mitochondrial cardiomyopathy due to cytochrome aa3 deficiency (disorder)
Cardiomyopathy,Heart failure and cardiomyopathy,46696008,Dilated cardiomyopathy due to dermatomyositis (disorder)
Cardiomyopathy,Heart failure and cardiomyopathy,46939000,Keshan disease (disorder)
Cardiomyopathy,Heart failure and cardiomyopathy,471841009,Inflammatory cardiomyopathy (disorder)
Cardiomyopathy,Heart failure and cardiomyopathy,471846004,Cardiomyopathy due to neuromuscular disorder (disorder)
Cardiomyopathy,Heart failure and cardiomyopathy,471858004,Valvular cardiomyopathy (disorder)
Cardiomyopathy,Heart failure and cardiomyopathy,471870000,Pacing-induced cardiomyopathy (disorder)
Cardiomyopathy,Heart failure and cardiomyopathy,471875005,Ventricular myocardial noncompaction cardiomyopathy (disorder)
Cardiomyopathy,Heart failure and cardiomyopathy,471885006,Hypertrophic cardiomyopathy with genetic marker (disorder)
Cardiomyopathy,Heart failure and cardiomyopathy,471890009,Dilated cardiomyopathy with genetic marker (disorder)
Cardiomyopathy,Heart failure and cardiomyopathy,472100003,Ischemic dilated cardiomyopathy due to coronary artery disease (disorder)
Cardiomyopathy,Heart failure and cardiomyopathy,472315005,Mitochondrial cardiomyopathy (disorder)
Cardiomyopathy,Heart failure and cardiomyopathy,472316006,Hypertrophic mitochondrial cardiomyopathy (disorder)
Cardiomyopathy,Heart failure and cardiomyopathy,472317002,Histiocytoid mitochondrial cardiomyopathy (disorder)
Cardiomyopathy,Heart failure and cardiomyopathy,472318007,Hypertrophic mitochondrial cardiomyopathy associated with cataracts and lactic acidosis (disorder)
Cardiomyopathy,Heart failure and cardiomyopathy,472320005,Maternally inherited mitochondrial cardiomyopathy and myopathy (disorder)
Cardiomyopathy,Heart failure and cardiomyopathy,472323007,Fetal cardiomyopathy (disorder)
Cardiomyopathy,Heart failure and cardiomyopathy,472324001,Fetal hypertrophic cardiomyopathy (disorder)
Cardiomyopathy,Heart failure and cardiomyopathy,472327008,Fetal dilated cardiomyopathy (disorder)
Cardiomyopathy,Heart failure and cardiomyopathy,50270004,Dilated cardiomyopathy due to Friedreich's ataxia (disorder)
Cardiomyopathy,Heart failure and cardiomyopathy,50275009,Cobalt cardiomyopathy (disorder)
Cardiomyopathy,Heart failure and cardiomyopathy,52029003,Primary familial dilated cardiomyopathy (disorder)
Cardiomyopathy,Heart failure and cardiomyopathy,53043001,Primary idiopathic dilated cardiomyopathy (disorder)
Cardiomyopathy,Heart failure and cardiomyopathy,53703001,Primary eosinophilic endomyocardial cardiomyopathy (disorder)
Cardiomyopathy,Heart failure and cardiomyopathy,54830008,Dilated cardiomyopathy due to bacterial myocarditis (disorder)
Cardiomyopathy,Heart failure and cardiomyopathy,56941009,Restrictive cardiomyopathy secondary to hemochromatosis (disorder)
Cardiomyopathy,Heart failure and cardiomyopathy,58629009,Dilated cardiomyopathy due to amyloidosis (disorder)
Cardiomyopathy,Heart failure and cardiomyopathy,58911001,Dilated cardiomyopathy due to glycogen storage disease (disorder)
Cardiomyopathy,Heart failure and cardiomyopathy,6022005,Dilated cardiomyopathy due to sarcoidosis (disorder)
Cardiomyopathy,Heart failure and cardiomyopathy,60514000,Dilated cardiomyopathy due to familial storage disease (disorder)
Cardiomyopathy,Heart failure and cardiomyopathy,62377009,Postpartum cardiomyopathy (disorder)
Cardiomyopathy,Heart failure and cardiomyopathy,63183009,Primary idiopathic hypertrophic cardiomyopathy (disorder)
Cardiomyopathy,Heart failure and cardiomyopathy,64041007,Primary idiopathic restrictive cardiomyopathy (disorder)
Cardiomyopathy,Heart failure and cardiomyopathy,64077000,Myocardial degeneration (disorder)
Cardiomyopathy,Heart failure and cardiomyopathy,64615000,Restrictive cardiomyopathy secondary to glycogen storage disease (disorder)
Cardiomyopathy,Heart failure and cardiomyopathy,64749001,Dilated cardiomyopathy due to infiltration (disorder)
Cardiomyopathy,Heart failure and cardiomyopathy,65457005,Endocardial fibroelastosis (disorder)
Cardiomyopathy,Heart failure and cardiomyopathy,68602002,Primary endomyocardial fibrosis cardiomyopathy (disorder)
Cardiomyopathy,Heart failure and cardiomyopathy,69609002,Nonobstructive cardiomyopathy (disorder)
Cardiomyopathy,Heart failure and cardiomyopathy,699668009,Secondary nonischemic congestive cardiomyopathy (disorder)
Cardiomyopathy,Heart failure and cardiomyopathy,700065003,Primary hypertrophic cardiomyopathy (disorder)
Cardiomyopathy,Heart failure and cardiomyopathy,702424003,Dilated cardiomyopathy 3B (disorder)
Cardiomyopathy,Heart failure and cardiomyopathy,713523008,Cardiomyopathy co-occurrent with human immunodeficiency virus infection (disorder)
Cardiomyopathy,Heart failure and cardiomyopathy,715535009,Keratosis palmoplantaris and arrhythmogenic cardiomyopathy syndrome (disorder)
Cardiomyopathy,Heart failure and cardiomyopathy,715626008,Tropical endomyocardial fibrosis (disorder)
Cardiomyopathy,Heart failure and cardiomyopathy,717812000,"Congenital cataract, hypertrophic cardiomyopathy, mitochondrial myopathy syndrome (disorder)"
Cardiomyopathy,Heart failure and cardiomyopathy,718713000,Hypertrophic cardiomyopathy with hypotonia and lactic acidosis syndrome (disorder)
Cardiomyopathy,Heart failure and cardiomyopathy,719272007,Progressive sensorineural hearing loss and hypertrophic cardiomyopathy syndrome (disorder)
Cardiomyopathy,Heart failure and cardiomyopathy,719380003,Microcephalus cardiomyopathy syndrome (disorder)
Cardiomyopathy,Heart failure and cardiomyopathy,719451006,Dilated cardiomyopathy with hypergonadotropic hypogonadism syndrome (disorder)
Cardiomyopathy,Heart failure and cardiomyopathy,719824001,Vici syndrome (disorder)
Cardiomyopathy,Heart failure and cardiomyopathy,719835006,Wooly hair and palmoplantar keratoderma with dilated cardiomyopathy syndrome (disorder)
Cardiomyopathy,Heart failure and cardiomyopathy,719839000,Tubular renal disease with cardiomyopathy syndrome (disorder)
Cardiomyopathy,Heart failure and cardiomyopathy,720609003,Cardiomyopathy with cataract and hip spine disease syndrome (disorder)
Cardiomyopathy,Heart failure and cardiomyopathy,720610008,Cardiomyopathy and renal anomaly syndrome (disorder)
Cardiomyopathy,Heart failure and cardiomyopathy,721014007,Heart-hand syndrome Slovenian type (disorder)
Cardiomyopathy,Heart failure and cardiomyopathy,721015008,Hydrocephalus with endocardial fibroelastosis and cataract syndrome (disorder)
Cardiomyopathy,Heart failure and cardiomyopathy,723993005,Sensorineural deafness with dilated cardiomyopathy syndrome (disorder)
Cardiomyopathy,Heart failure and cardiomyopathy,724173009,Maternally inherited cardiomyopathy and hearing loss syndrome (disorder)
Cardiomyopathy,Heart failure and cardiomyopathy,725027004,Muscle and heart glycogen synthase deficiency (disorder)
Cardiomyopathy,Heart failure and cardiomyopathy,725416005,Cardiomyopathy due to cirrhosis of liver (disorder)
Cardiomyopathy,Heart failure and cardiomyopathy,72972005,Dilated cardiomyopathy caused by drug (disorder)
Cardiomyopathy,Heart failure and cardiomyopathy,74249003,Dilated cardiomyopathy due to malignancy (disorder)
Cardiomyopathy,Heart failure and cardiomyopathy,763280005,"Encephalopathy, hypertrophic cardiomyopathy, renal tubular disease syndrome (disorder)"
Cardiomyopathy,Heart failure and cardiomyopathy,76931005,Restrictive cardiomyopathy secondary to granulomas (disorder)
Cardiomyopathy,Heart failure and cardiomyopathy,771478008,Mitochondrial hypertrophic cardiomyopathy with lactic acidosis due to mitochondrial transfer ribonucleic acid translation optimization 1 deficiency (disorder)
Cardiomyopathy,Heart failure and cardiomyopathy,771509001,Hypertrophic cardiomyopathy and renal tubular disease due to mitochondrial deoxyribonucleic acid mutation (disorder)
Cardiomyopathy,Heart failure and cardiomyopathy,771513008,Infantile hypertrophic cardiomyopathy due to mitochondrial ribosomal protein L44 deficiency (disorder)
Cardiomyopathy,Heart failure and cardiomyopathy,774148007,Polyglucosan body myopathy type 1 (disorder)
Cardiomyopathy,Heart failure and cardiomyopathy,775908005,Combined oxidative phosphorylation defect type 17 (disorder)
Cardiomyopathy,Heart failure and cardiomyopathy,788878000,Cardiomyopathy due to diabetes mellitus (disorder)
Cardiomyopathy,Heart failure and cardiomyopathy,789037005,Rheumatic cardiomyopathy (disorder)
Cardiomyopathy,Heart failure and cardiomyopathy,79152002,Dilated cardiomyopathy due to neuromuscular disorder (disorder)
Cardiomyopathy,Heart failure and cardiomyopathy,79754008,Restrictive cardiomyopathy secondary to amyloidosis (disorder)
Cardiomyopathy,Heart failure and cardiomyopathy,8209004,Dilated cardiomyopathy due to hemochromatosis (disorder)
Cardiomyopathy,Heart failure and cardiomyopathy,8239009,Primary endocardial fibroelastosis (disorder)
Cardiomyopathy,Heart failure and cardiomyopathy,83978005,Primary familial hypertrophic cardiomyopathy (disorder)
Cardiomyopathy,Heart failure and cardiomyopathy,84725008,Restrictive cardiomyopathy due to mucopolysaccharidosis (disorder)
Cardiomyopathy,Heart failure and cardiomyopathy,84733009,Dilated cardiomyopathy due to nutritional deficiency (disorder)
Cardiomyopathy,Heart failure and cardiomyopathy,85898001,Cardiomyopathy (disorder)
Cardiomyopathy,Heart failure and cardiomyopathy,860837007,Cardiomyopathy due to connective tissue disease (disorder)
Cardiomyopathy,Heart failure and cardiomyopathy,860839005,Cardiomyopathy due to storage disease (disorder)
Cardiomyopathy,Heart failure and cardiomyopathy,86194008,Dilated cardiomyopathy due to infectious disease (disorder)
Cardiomyopathy,Heart failure and cardiomyopathy,86995005,Dilated cardiomyopathy due to mucopolysaccharidosis (disorder)
Cardiomyopathy,Heart failure and cardiomyopathy,871638006,Hypertrophic cardiomyopathy due to glycogen storage disease (disorder)
Cardiomyopathy,Heart failure and cardiomyopathy,871639003,Dilated cardiomyopathy due to mitochondrial disease (disorder)
Cardiomyopathy,Heart failure and cardiomyopathy,871646007,Infiltrative cardiomyopathy (disorder)
Cardiomyopathy,Heart failure and cardiomyopathy,871649000,Hypertrophic cardiomyopathy due to lysosomal disease (disorder)
Cardiomyopathy,Heart failure and cardiomyopathy,880014009,Dilated cardiomyopathy due to carnitine deficiency (disorder)
Cardiomyopathy,Heart failure and cardiomyopathy,880038008,Dilated cardiomyopathy due to lysosomal storage disease (disorder)
Cardiomyopathy,Heart failure and cardiomyopathy,880040003,Arrhythmogenic left ventricular cardiomyopathy (disorder)
Cardiomyopathy,Heart failure and cardiomyopathy,880042006,Dilated cardiomyopathy caused by anthracycline (disorder)
Cardiomyopathy,Heart failure and cardiomyopathy,890119003,Hypertrophic cardiomyopathy due to Friedreich ataxia (disorder)
Cardiomyopathy,Heart failure and cardiomyopathy,890120009,Hypertrophic cardiomyopathy due to neuromuscular disorder (disorder)
Cardiomyopathy,Heart failure and cardiomyopathy,890121008,Hypertrophic cardiomyopathy due to hyperthyroidism (disorder)
Cardiomyopathy,Heart failure and cardiomyopathy,890122001,Hypertrophic cardiomyopathy due to disorder (disorder)
Cardiomyopathy,Heart failure and cardiomyopathy,89461002,Primary cardiomyopathy (disorder)
Cardiomyopathy,Heart failure and cardiomyopathy,90828009,Primary restrictive cardiomyopathy (disorder)
Cardiomyopathy,Heart failure and cardiomyopathy,91604001,Dilated cardiomyopathy due to polyarteritis nodosa (disorder)
Cardiomyopathy,Heart failure and cardiomyopathy,9909003,Fatty degeneration of heart (disorder)
"Chronic ischaemic heart disease, unspecified",Ischaemic heart disease,194849004,Generalized ischemic myocardial dysfunction (disorder)
"Chronic ischaemic heart disease, unspecified",Ischaemic heart disease,233823002,Silent myocardial ischemia (disorder)
"Chronic ischaemic heart disease, unspecified",Ischaemic heart disease,413838009,Chronic ischemic heart disease (disorder)
"Chronic ischaemic heart disease, unspecified",Ischaemic heart disease,413844008,Chronic myocardial ischemia (disorder)
Chronic pericarditis,"Cardiac infection, inflammation and other cardiovascular conditions",233886008,Chronic infective pericarditis (disorder)
Chronic pericarditis,"Cardiac infection, inflammation and other cardiovascular conditions",233887004,Chronic pericardial effusion caused by cholesterol (disorder)
Chronic pericarditis,"Cardiac infection, inflammation and other cardiovascular conditions",23627006,Chronic pericarditis (disorder)
Chronic pericarditis,"Cardiac infection, inflammation and other cardiovascular conditions",27017003,Chronic effusive pericarditis (disorder)
Chronic pericarditis,"Cardiac infection, inflammation and other cardiovascular conditions",39244004,Pericarditis due to myxedema (disorder)
Chronic pericarditis,"Cardiac infection, inflammation and other cardiovascular conditions",42999000,Chronic adhesive pericarditis (disorder)
Chronic pericarditis,"Cardiac infection, inflammation and other cardiovascular conditions",52535005,Chronic constrictive pericarditis (disorder)
Chronic pericarditis,"Cardiac infection, inflammation and other cardiovascular conditions",756003,Chronic myopericarditis due to rheumatic heart disease (disorder)
Chronic pericarditis,"Cardiac infection, inflammation and other cardiovascular conditions",78069008,Chronic pericarditis due to rheumatic heart disease (disorder)
Chronic pericarditis,"Cardiac infection, inflammation and other cardiovascular conditions",90453003,Chronic mediastinopericarditis due to rheumatic heart disease (disorder)
Chronic venous insufficiency,Vein disorders,15929861000119106,Edema of bilateral lower limbs co-occurrent and due to peripheral venous insufficiency (disorder)
Chronic venous insufficiency,Vein disorders,15929941000119104,Edema of right lower limb co-occurrent and due to peripheral venous insufficiency (disorder)
Chronic venous insufficiency,Vein disorders,15930061000119106,Edema of left lower limb co-occurrent and due to peripheral venous insufficiency (disorder)
Chronic venous insufficiency,Vein disorders,20427003,Postphlebitic syndrome (disorder)
Chronic venous insufficiency,Vein disorders,20696009,Peripheral venous insufficiency (disorder)
Chronic venous insufficiency,Vein disorders,234050002,Venous insufficiency of leg (disorder)
Chronic venous insufficiency,Vein disorders,234051003,Primary venous insufficiency of leg (disorder)
Chronic venous insufficiency,Vein disorders,234052005,Secondary venous insufficiency of leg (disorder)
Coronary atherosclerosis,Ischaemic heart disease,194821006,Coronary thrombosis not resulting in myocardial infarction (disorder)
Coronary atherosclerosis,Ischaemic heart disease,443502000,Atherosclerosis of coronary artery (disorder)
Coronary atherosclerosis,Ischaemic heart disease,65340007,Aneurysm of heart (disorder)
Coronary atherosclerosis,Ischaemic heart disease,719678003,Non-obstructive atherosclerosis of coronary artery (disorder)
Coronary atherosclerosis,Ischaemic heart disease,723862008,Atherosclerosis of non-autologous coronary artery bypass graft (disorder)
Coronary atherosclerosis,Ischaemic heart disease,724431008,Atherosclerosis of autologous coronary artery bypass graft (disorder)
Diabetic peripheral angiopathies,Peripheral vascular disease and other vasculitis,190368000,Type I diabetes mellitus with ulcer (disorder)
Diabetic peripheral angiopathies,Peripheral vascular disease and other vasculitis,190389009,Type II diabetes mellitus with ulcer (disorder)
"Disease of pericardium, unspecified","Cardiac infection, inflammation and other cardiovascular conditions",23627006,Chronic pericarditis (disorder)
"Disease of pericardium, unspecified","Cardiac infection, inflammation and other cardiovascular conditions",55855009,Disorder of pericardium (disorder)
"Diseases of pulmonary arteries or veins, unspecified",Pulmonary vessel disorders,1187633001,Pulmonary artery rupture (disorder)
"Diseases of pulmonary arteries or veins, unspecified",Pulmonary vessel disorders,15386007,Stricture of pulmonary vessel (disorder)
"Diseases of pulmonary arteries or veins, unspecified",Pulmonary vessel disorders,735568006,Rupture of pulmonary artery co-occurrent and due to aneurysm of pulmonary artery (disorder)
"Diseases of pulmonary arteries or veins, unspecified",Pulmonary vessel disorders,82889007,Rupture of pulmonary vessel (disorder)
Eisenmenger's syndrome,Pulmonary vessel disorders,445928005,Eisenmenger's syndrome (disorder)
Embolism or thrombosis of abdominal aorta,Arterial embolism and thrombosis,266263009,Embolism and thrombosis of the abdominal aorta (disorder)
Embolism or thrombosis of aorta,Arterial embolism and thrombosis,1204219002,Acute occlusion of aortic bifurcation due to thromboembolus (disorder)
Embolism or thrombosis of aorta,Arterial embolism and thrombosis,195317001,Embolism and thrombosis of the thoracic aorta (disorder)
Embolism or thrombosis of aorta,Arterial embolism and thrombosis,274101000,Aortic thromboembolism (disorder)
Embolism or thrombosis of arteries of lower extremity,Arterial embolism and thrombosis,1010730002,Thromboembolus of artery of lower limb (disorder)
Embolism or thrombosis of arteries of lower extremity,Arterial embolism and thrombosis,1204183003,Acute occlusion of popliteal artery due to thromboembolus (disorder)
Embolism or thrombosis of arteries of lower extremity,Arterial embolism and thrombosis,1204187002,Acute occlusion of crural artery due to thromboembolus (disorder)
Embolism or thrombosis of arteries of lower extremity,Arterial embolism and thrombosis,1204197006,Acute occlusion of superficial femoral artery due to thromboembolus (disorder)
Embolism or thrombosis of arteries of lower extremity,Arterial embolism and thrombosis,1204213001,Acute occlusion of common femoral artery due to thromboembolus (disorder)
Embolism or thrombosis of arteries of lower extremity,Arterial embolism and thrombosis,195323006,Embolism and thrombosis of the femoral artery (disorder)
Embolism or thrombosis of arteries of lower extremity,Arterial embolism and thrombosis,195324000,Embolism and thrombosis of the popliteal artery (disorder)
Embolism or thrombosis of arteries of lower extremity,Arterial embolism and thrombosis,195325004,Embolism and thrombosis of the anterior tibial artery (disorder)
Embolism or thrombosis of arteries of lower extremity,Arterial embolism and thrombosis,195326003,Embolism and thrombosis of the dorsalis pedis artery (disorder)
Embolism or thrombosis of arteries of lower extremity,Arterial embolism and thrombosis,195327007,Embolism and thrombosis of the posterior tibial artery (disorder)
Embolism or thrombosis of arteries of lower extremity,Arterial embolism and thrombosis,723870003,Acute occlusion of artery of lower limb co-occurrent and due to thromboembolus (disorder)
Embolism or thrombosis of arteries of upper extremities,Arterial embolism and thrombosis,1010729007,Thromboembolus of artery of upper limb (disorder)
Embolism or thrombosis of arteries of upper extremities,Arterial embolism and thrombosis,1204214007,Acute occlusion of brachial artery due to thromboembolus (disorder)
Embolism or thrombosis of arteries of upper extremities,Arterial embolism and thrombosis,1204215008,Acute occlusion of axillary artery due to thromboembolus (disorder)
Embolism or thrombosis of arteries of upper extremities,Arterial embolism and thrombosis,195319003,Embolism and thrombosis of the brachial artery (disorder)
Embolism or thrombosis of arteries of upper extremities,Arterial embolism and thrombosis,195320009,Embolism and thrombosis of the radial artery (disorder)
Embolism or thrombosis of arteries of upper extremities,Arterial embolism and thrombosis,195321008,Embolism and thrombosis of the ulnar artery (disorder)
Embolism or thrombosis of arteries of upper extremities,Arterial embolism and thrombosis,195341003,Embolism and thrombosis of the axillary artery (disorder)
Embolism or thrombosis of arteries of upper extremities,Arterial embolism and thrombosis,733126003,Acute occlusion of artery of upper limb caused by thromboembolus (disorder)
Embolism or thrombosis of iliac artery,Arterial embolism and thrombosis,1204185005,Acute occlusion of iliac artery due to thromboembolus (disorder)
Embolism or thrombosis of iliac artery,Arterial embolism and thrombosis,195335005,Embolism and/or thrombosis of the common iliac artery (disorder)
Embolism or thrombosis of iliac artery,Arterial embolism and thrombosis,723869004,Acute occlusion of aortoiliac artery co-occurrent and due to thromboembolus (disorder)
Embolism or thrombosis of iliac artery,Arterial embolism and thrombosis,734298005,Thromboembolus of internal iliac artery (disorder)
Embolism or thrombosis of iliac artery,Arterial embolism and thrombosis,734299002,Thromboembolus of external iliac artery (disorder)
Embolism or thrombosis of iliac artery,Arterial embolism and thrombosis,80383008,Embolism of iliac artery (disorder)
Embolism or thrombosis of other arteries,Arterial embolism and thrombosis,10365005,Right main coronary artery thrombosis (disorder)
Embolism or thrombosis of other arteries,Arterial embolism and thrombosis,111497000,Arterial thrombosis of spinal cord (disorder)
Embolism or thrombosis of other arteries,Arterial embolism and thrombosis,1156016006,Thrombosis of left posterior cerebral artery (disorder)
Embolism or thrombosis of other arteries,Arterial embolism and thrombosis,1156017002,Thrombosis of right posterior cerebral artery (disorder)
Embolism or thrombosis of other arteries,Arterial embolism and thrombosis,1156018007,Thrombosis of left cerebellar artery (disorder)
Embolism or thrombosis of other arteries,Arterial embolism and thrombosis,1156019004,Thrombosis of right cerebellar artery (disorder)
Embolism or thrombosis of other arteries,Arterial embolism and thrombosis,1163244009,Pulmonary thromboembolism following operative procedure (disorder)
Embolism or thrombosis of other arteries,Arterial embolism and thrombosis,1204179003,Acute occlusion of renal artery due to thromboembolus (disorder)
Embolism or thrombosis of other arteries,Arterial embolism and thrombosis,1204180000,Acute occlusion of renal artery due to thrombosis (disorder)
Embolism or thrombosis of other arteries,Arterial embolism and thrombosis,1204195003,Acute occlusion of visceral artery due to thromboembolus (disorder)
Embolism or thrombosis of other arteries,Arterial embolism and thrombosis,1204196002,Acute occlusion of visceral artery due to thrombosis (disorder)
Embolism or thrombosis of other arteries,Arterial embolism and thrombosis,1269238002,Thrombosis of anterior cerebral artery (disorder)
Embolism or thrombosis of other arteries,Arterial embolism and thrombosis,1269239005,Thrombosis of left anterior cerebral artery (disorder)
Embolism or thrombosis of other arteries,Arterial embolism and thrombosis,1269240007,Thrombosis of right anterior cerebral artery (disorder)
Embolism or thrombosis of other arteries,Arterial embolism and thrombosis,1269243009,Thrombosis of bilateral carotid arteries (disorder)
Embolism or thrombosis of other arteries,Arterial embolism and thrombosis,1269244003,Thrombosis of bilateral cerebellar arteries (disorder)
Embolism or thrombosis of other arteries,Arterial embolism and thrombosis,1269245002,Thrombosis of bilateral posterior cerebral arteries (disorder)
Embolism or thrombosis of other arteries,Arterial embolism and thrombosis,1269246001,Thrombosis of bilateral vertebral arteries (disorder)
Embolism or thrombosis of other arteries,Arterial embolism and thrombosis,139971000119106,Thrombosis of coronary artery bypass graft (disorder)
Embolism or thrombosis of other arteries,Arterial embolism and thrombosis,14977000,Multiple AND bilateral precerebral artery thrombosis (disorder)
Embolism or thrombosis of other arteries,Arterial embolism and thrombosis,15842009,Thrombosis of renal vein (disorder)
Embolism or thrombosis of other arteries,Arterial embolism and thrombosis,15972701000119106,Thrombosis of splenic artery (disorder)
Embolism or thrombosis of other arteries,Arterial embolism and thrombosis,15978431000119106,Thrombosis of right vertebral artery (disorder)
Embolism or thrombosis of other arteries,Arterial embolism and thrombosis,15978471000119108,Thrombosis of left vertebral artery (disorder)
Embolism or thrombosis of other arteries,Arterial embolism and thrombosis,194821006,Coronary thrombosis not resulting in myocardial infarction (disorder)
Embolism or thrombosis of other arteries,Arterial embolism and thrombosis,195340002,Embolism and thrombosis of the splenic artery (disorder)
Embolism or thrombosis of other arteries,Arterial embolism and thrombosis,195342005,Embolism and thrombosis of the celiac artery (disorder)
Embolism or thrombosis of other arteries,Arterial embolism and thrombosis,195343000,Embolism and thrombosis of hepatic artery (disorder)
Embolism or thrombosis of other arteries,Arterial embolism and thrombosis,197000003,Superior mesenteric artery thrombosis (disorder)
Embolism or thrombosis of other arteries,Arterial embolism and thrombosis,197001004,Superior mesenteric vein thrombosis (disorder)
Embolism or thrombosis of other arteries,Arterial embolism and thrombosis,200299000,Obstetric blood-clot pulmonary embolism (disorder)
Embolism or thrombosis of other arteries,Arterial embolism and thrombosis,200303005,Obstetric blood-clot pulmonary embolism with antenatal complication (disorder)
Embolism or thrombosis of other arteries,Arterial embolism and thrombosis,200304004,Obstetric blood-clot pulmonary embolism with postnatal complication (disorder)
Embolism or thrombosis of other arteries,Arterial embolism and thrombosis,230740003,Anterior spinal artery thrombosis (disorder)
Embolism or thrombosis of other arteries,Arterial embolism and thrombosis,233935004,Pulmonary thromboembolism (disorder)
Embolism or thrombosis of other arteries,Arterial embolism and thrombosis,233947005,Thromboembolic pulmonary hypertension (disorder)
Embolism or thrombosis of other arteries,Arterial embolism and thrombosis,243410003,Thrombosis of mesenteric artery (disorder)
Embolism or thrombosis of other arteries,Arterial embolism and thrombosis,26214006,Thrombosis of retinal artery (disorder)
Embolism or thrombosis of other arteries,Arterial embolism and thrombosis,28248000,Left anterior descending coronary artery thrombosis (disorder)
Embolism or thrombosis of other arteries,Arterial embolism and thrombosis,297148004,Celiac artery thrombosis (disorder)
Embolism or thrombosis of other arteries,Arterial embolism and thrombosis,306857000,Thrombosis of renal artery bypass graft (disorder)
Embolism or thrombosis of other arteries,Arterial embolism and thrombosis,312594005,Head and neck arterial thrombosis (disorder)
Embolism or thrombosis of other arteries,Arterial embolism and thrombosis,398274000,Coronary artery thrombosis (disorder)
Embolism or thrombosis of other arteries,Arterial embolism and thrombosis,408665008,Pontine artery thrombosis (disorder)
Embolism or thrombosis of other arteries,Arterial embolism and thrombosis,421327009,Coronary artery stent thrombosis (disorder)
Embolism or thrombosis of other arteries,Arterial embolism and thrombosis,425420004,Thrombosis of internal carotid artery (disorder)
Embolism or thrombosis of other arteries,Arterial embolism and thrombosis,425932008,Thrombosis of posterior communicating artery (disorder)
Embolism or thrombosis of other arteries,Arterial embolism and thrombosis,446712002,Thromboembolus of precerebral artery (disorder)
Embolism or thrombosis of other arteries,Arterial embolism and thrombosis,46085004,Thrombosis of retinal vein (disorder)
Embolism or thrombosis of other arteries,Arterial embolism and thrombosis,48601002,Thrombosis of precerebral artery (disorder)
Embolism or thrombosis of other arteries,Arterial embolism and thrombosis,56276002,Left main coronary artery thrombosis (disorder)
Embolism or thrombosis of other arteries,Arterial embolism and thrombosis,57834008,Pulmonary artery thrombosis (disorder)
Embolism or thrombosis of other arteries,Arterial embolism and thrombosis,60989005,Thromboembolism of renal arteries (disorder)
Embolism or thrombosis of other arteries,Arterial embolism and thrombosis,64775002,Vertebral artery thrombosis (disorder)
Embolism or thrombosis of other arteries,Arterial embolism and thrombosis,69357003,Pulmonary thrombosis (disorder)
Embolism or thrombosis of other arteries,Arterial embolism and thrombosis,698363002,Postoperative thromboembolus of precerebral artery (disorder)
Embolism or thrombosis of other arteries,Arterial embolism and thrombosis,705129007,Thrombosis of middle cerebral artery (disorder)
Embolism or thrombosis of other arteries,Arterial embolism and thrombosis,707412000,Chronic pulmonary thromboembolism (disorder)
Embolism or thrombosis of other arteries,Arterial embolism and thrombosis,707413005,Chronic pulmonary thromboembolism without pulmonary hypertension (disorder)
Embolism or thrombosis of other arteries,Arterial embolism and thrombosis,707414004,Acute pulmonary thromboembolism (disorder)
Embolism or thrombosis of other arteries,Arterial embolism and thrombosis,71444005,Cerebral arterial thrombosis (disorder)
Embolism or thrombosis of other arteries,Arterial embolism and thrombosis,733325006,Combined occlusion by thrombus of retinal artery and retinal vein (disorder)
Embolism or thrombosis of other arteries,Arterial embolism and thrombosis,734374000,Thrombosis of left carotid artery (disorder)
Embolism or thrombosis of other arteries,Arterial embolism and thrombosis,734382000,Thrombosis of right carotid artery (disorder)
Embolism or thrombosis of other arteries,Arterial embolism and thrombosis,734383005,Thrombosis of left middle cerebral artery (disorder)
Embolism or thrombosis of other arteries,Arterial embolism and thrombosis,734384004,Thrombosis of right middle cerebral artery (disorder)
Embolism or thrombosis of other arteries,Arterial embolism and thrombosis,7931000119101,Anterior choroidal artery thrombosis (disorder)
Embolism or thrombosis of other arteries,Arterial embolism and thrombosis,83940008,Hepatic artery thrombosis (disorder)
Embolism or thrombosis of other arteries,Arterial embolism and thrombosis,86003009,Carotid artery thrombosis (disorder)
Embolism or thrombosis of other arteries,Arterial embolism and thrombosis,88174006,Basilar artery thrombosis (disorder)
Embolism or thrombosis of other arteries,Arterial embolism and thrombosis,95459002,Cerebellar artery thrombosis (disorder)
